listing,price,serial,condition,weight,stock
Gibson Custom Shop 1963 SG Junior Silver Fox Murphy Lab Light Aged,"$5,899.00",Serial #501713,NEW,Weight: 6lbs 8oz,In Stock!
Gibson Custom Shop 1961 Les Paul SG Standard Antique Double Ebony Lab Heavy Aged w/P90s,"$7,999.00",Serial #502101,NEW,Weight: 6lbs 6oz,In Stock!
"Gibson Custom Shop 1957 Les Paul Goldtop ""CME Spec"" Double Gold VOS w/59 Carmelita Neck","$5,399.00",Serial #75542,NEW,Weight: 8lbs 14oz,In Stock!
"Gibson Custom Shop EDS-1275 Doubleneck ""CME Spec"" VOS Heavy Antique Polaris White w/Bigsby & Grovers","$10,199.00",Serial #CS500838,NEW,Weight: 13lbs 6oz,In Stock!
Fender Esquire Blonde 1968,"$14,995.00",Serial #233432,VINTAGE,Weight: 6lbs 14oz,In Stock!
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,"$2,799.00",Serial #221440371,NEW,Weight: 9lbs,In Stock!
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,"$2,799.00",Serial #212940366,NEW,Weight: 8lbs 13oz,In Stock!
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,"$2,799.00",Serial #205950155,NEW,Weight: 9lbs 10oz,In Stock!
Mayones Duvell DT 6 Monolith Gun Grey Metallic Matt,"$3,105.00",Serial #DF2504006,NEW,Weight: 6lbs 12oz,In Stock!
Nash T-52 Ash Butterscotch Blonde Heavy Relic w/Neck P-90,"$3,008.00",Serial #CHI736,NEW,Weight: 7lbs 6oz,In Stock!
Mayones Regius Core 7 Flamed Maple 5A/American Ash Custom Blue Green Burst,"$7,735.00",Serial #RF2504077,NEW,Weight: 8lbs 6oz,In Stock!
"Gibson Custom Shop 1968 Les Paul Custom ""CME Spec"" Heavy Antique White VOS","$7,799.00",Serial #502618,NEW,Weight: 8lbs 14oz,In Stock!
Fano Alt de Facto SP6 Faded Cherry Light Distress w/Mojo Pickups & Stainless Steel Frets,"$4,900.00",Serial #250602,NEW,Weight: 6lbs 10oz,In Stock!
Jackson Custom Shop 1982 Dinky Nitro Relic Club Amethyst Metallic,"$5,949.99",Serial #XN010419,NEW,Weight: 8lbs 2oz,In Stock!
Epiphone Casino Natural 2003,$995.00,Serial #R03E0547,USED,Weight: 5lbs 10oz,In Stock!
Gibson ES-335 Sunburst 1960,"$59,995.00",Serial #R8026-6,VINTAGE,Weight: 8lbs 2oz,In Stock!
Powers Electric A-Type Select Flame Maple Custom Faded Cherry Sunburst w/PF42 Pickups,"$5,199.00",,NEW,,Pre-Order
