listing,Brand,price,serial,condition,,weight,stock,,,,,Brand
Fender Custom Shop 52 Telecaster NOS Nocaster Blonde 2014,Fender,"$2,995.00 ",#R13905,USED,,Weight: 6lbs 15oz,In Stock!,,,,,Fender
Gibson Custom Murphy Lab '59 Les Paul Standard Reissue Ultra Light Aged Sunburst 2021,Gibson,"$5,395.00 ",#912651,USED,,Weight: 8lbs 9oz,In Stock!,,,,,Gibson
Gibson Les Paul Custom Black 1981 LEFTY,Gibson,"$4,495.00 ",#60701011,USED,,Weight: 9lbs 15oz,In Stock!,,,,,Gibson
Epiphone JA-Riviera Jorma Kaukonen Signature Riviera Deluxe Cherry,Epiphone,$895.00 ,#ROOB 1477,USED,,Weight: 8lbs 10oz,In Stock!,,,,,Epiphone
Gibson '61 SG Standard Reissue Green 2024,Gibson,"$1,595.00 ",#204640143,USED,,Weight: 6lbs 4oz,In Stock!,,,,,Gibson
Gibson SG Standard Ocean Turquoise 1964,Gibson,"$10,995.00 ",#232174,VINTAGE,,Weight: 6lbs 10oz,In Stock!,,,,,Gibson
Suhr Custom Modern T Aged Cherry Burst w/CME-Selected Spalt Maple Top,Other,"$4,899.00 ",#83412,NEW,,Weight: 8lbs 8oz,In Stock!,,,,,#N/A
Gibson Custom Shop 1963 SG Junior Silver Fox Murphy Lab Light Aged,Gibson,"$5,899.00 ",#501713,NEW,,Weight: 6lbs 8oz,In Stock!,,,,,Gibson
Gibson Custom Shop 1961 Les Paul SG Standard Antique Double Ebony Lab Heavy Aged w/P90s,Gibson,"$7,999.00 ",#502101,NEW,,Weight: 6lbs 6oz,In Stock!,,,,,Gibson
"Gibson Custom Shop 1957 Les Paul Goldtop ""CME Spec"" Double Gold VOS w/59 Carmelita Neck",Gibson,"$5,399.00 ",#75542,NEW,,Weight: 8lbs 14oz,In Stock!,,,,,Gibson
"Gibson Custom Shop EDS-1275 Doubleneck ""CME Spec"" VOS Heavy Antique Polaris White w/Bigsby & Grovers",Gibson,"$10,199.00 ",#CS500838,NEW,,Weight: 13lbs 6oz,In Stock!,,,,,Gibson
Fender Esquire Blonde 1968,Fender,"$14,995.00 ",#233432,VINTAGE,,Weight: 6lbs 14oz,In Stock!,,,,,Fender
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,Gibson,"$2,799.00 ",#221440371,NEW,,Weight: 9lbs,In Stock!,,,,,Gibson
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,Gibson,"$2,799.00 ",#212940366,NEW,,Weight: 8lbs 13oz,In Stock!,,,,,Gibson
Gibson Original Les Paul Standard '50s Dirty Lemon Burst,Gibson,"$2,799.00 ",#205950155,NEW,,Weight: 9lbs 10oz,In Stock!,,,,,Gibson
Mayones Duvell DT 6 Monolith Gun Grey Metallic Matt,Other,"$3,105.00 ",#DF2504006,NEW,,Weight: 6lbs 12oz,In Stock!,,,,,#N/A
Nash T-52 Ash Butterscotch Blonde Heavy Relic w/Neck P-90,Other,"$3,008.00 ",#CHI736,NEW,,Weight: 7lbs 6oz,In Stock!,,,,,#N/A
Mayones Regius Core 7 Flamed Maple 5A/American Ash Custom Blue Green Burst,Other,"$7,735.00 ",#RF2504077,NEW,,Weight: 8lbs 6oz,In Stock!,,,,,#N/A
"Gibson Custom Shop 1968 Les Paul Custom ""CME Spec"" Heavy Antique White VOS",Gibson,"$7,799.00 ",#502618,NEW,,Weight: 8lbs 14oz,In Stock!,,,,,Gibson
Fano Alt de Facto SP6 Faded Cherry Light Distress w/Mojo Pickups & Stainless Steel Frets,Other,"$4,900.00 ",#250602,NEW,,Weight: 6lbs 10oz,In Stock!,,,,,#N/A
Jackson Custom Shop 1982 Dinky Nitro Relic Club Amethyst Metallic,Other,"$5,949.99 ",#XN010419,NEW,,Weight: 8lbs 2oz,In Stock!,,,,,#N/A
Epiphone Casino Natural 2003,Epiphone,$995.00 ,#R03E0547,USED,,Weight: 5lbs 10oz,In Stock!,,,,,Epiphone
Gibson ES-335 Sunburst 1960,Gibson,"$59,995.00 ",#R8026-6,VINTAGE,,Weight: 8lbs 2oz,In Stock!,,,,,Gibson
Powers Electric A-Type Select Flame Maple Custom Faded Cherry Sunburst w/PF42 Pickups,Other,"$5,199.00 ",#N/A,NEW,,,Pre-Order,,,,,#N/A
